"Index.year","Reference.year..main.","Protocol.order","Country","categoria","valor","col"
2019,2017,17,"HU","MONEY",71.6,"black"
2019,2017,18,"MT","MONEY",82.5,"white"
2019,2017,19,"NL","MONEY",86.7,"white"
2019,2017,20,"AT","MONEY",86.4,"white"
2019,2017,21,"PL","MONEY",75.1,"black"
2019,2017,22,"PT","MONEY",72.1,"black"
2019,2017,23,"RO","MONEY",62,"black"
2019,2017,24,"SI","MONEY",82.4,"white"
2019,2017,25,"SK","MONEY",74.2,"black"
2019,2017,26,"FI","MONEY",87.6,"white"
2019,2017,27,"SE","MONEY",86.8,"white"
2020,2018,0,"EU","MONEY",81.6,"white"
2020,2018,1,"BE","MONEY",88.7,"white"
2020,2018,2,"BG","MONEY",62.3,"black"
2020,2018,3,"CZ","MONEY",76.8,"white"
2020,2018,4,"DK","MONEY",86.8,"white"
2020,2018,5,"DE","MONEY",84.9,"white"
2020,2018,6,"EE","MONEY",70,"black"
2020,2018,7,"IE","MONEY",86.5,"white"
2020,2018,8,"EL","MONEY",72.5,"black"
2020,2018,9,"ES","MONEY",77.8,"white"
2020,2018,10,"FR","MONEY",87,"white"
2020,2018,11,"HR","MONEY",72.6,"black"
